LS701,LS702,T701,T702,T703,T704,T706,T708,T709,T711,T712,T705,FT703,FT704,PDI701,PDI702,PY23,FYI702
1.0,1.0,420.202,76.135,65.351,71.843,71.488,66.444,60.723,59.054,58.85,59.05,0.118,0.525,0.259,3.543,398.601,3.902
1.0,1.0,420.273,76.199,65.373,71.885,71.488,66.422,60.766,59.096,58.871,59.05,0.117,0.522,0.215,3.527,398.511,3.643
1.0,1.0,420.32,76.221,65.351,71.885,71.467,66.444,60.745,59.075,58.871,59.05,0.109,0.517,0.183,3.606,398.385,3.899
1.0,1.0,420.273,76.199,65.33,71.822,71.488,66.422,60.745,59.075,58.85,59.071,0.105,0.509,0.231,3.601,398.43,4.554
1.0,1.0,420.249,76.199,65.373,71.885,71.488,66.422,60.745,59.075,58.85,59.05,0.106,0.501,0.171,3.535,398.583,3.902
1.0,1.0,420.296,76.178,65.351,71.864,71.509,66.422,60.766,59.054,58.85,59.029,0.102,0.499,0.16,3.49,398.376,3.643
1.0,1.0,420.32,76.157,65.373,71.843,71.467,66.38,60.745,59.054,58.85,59.05,0.095,0.497,0.161,3.518,398.197,3.902
1.0,1.0,420.296,76.178,65.33,71.864,71.467,66.465,60.766,59.075,58.871,59.05,0.1,0.497,0.156,3.616,398.385,4.554
1.0,1.0,420.343,76.221,65.373,71.864,71.509,66.444,60.766,59.054,58.829,59.029,0.095,0.496,0.257,3.608,398.511,3.976
1.0,1.0,420.367,76.263,65.351,71.885,71.467,66.422,60.745,59.075,58.85,59.071,0.09,0.495,0.231,3.549,398.313,3.646
1.0,1.0,420.343,76.199,65.373,71.801,71.467,66.401,60.787,59.054,58.85,59.029,0.093,0.492,0.162,3.575,398.322,3.902
1.0,1.0,420.343,76.199,65.351,71.906,71.488,66.422,60.766,59.033,58.85,59.05,0.093,0.491,0.165,3.647,398.448,4.444
1.0,1.0,420.343,76.242,65.351,71.885,71.488,66.422,60.787,59.075,58.85,59.029,0.094,0.492,0.198,3.63,398.798,3.646
1.0,1.0,420.414,76.221,65.351,71.864,71.445,66.38,60.787,59.054,58.829,59.029,0.096,0.493,0.171,3.667,398.511,3.902
1.0,1.0,420.39,76.263,65.373,71.885,71.445,66.38,60.787,59.033,58.85,59.029,0.101,0.513,0.177,3.796,398.852,3.643
1.0,1.0,420.437,76.178,65.351,71.801,71.445,66.359,60.766,59.033,58.808,59.008,0.113,0.858,0.122,3.723,398.977,4.873
